periodo;trm;dia;primera_dif;segunda_dif;trans_max_min;estanrazicacion z;trans_max_min;1dif;y_t;y_t-1;y_t-2;y_t-3;m1;m2;m3
33569;693,32;miércoles;;;;;0,016371698;;;;;;;;
33570;693,99;jueves;0,67;;0,415723422;0,016440259;0,016522579;0,000150881;0,67;;;;;;
33571;694,7;viernes;0,71;1,38;0,415830457;0,018529611;0,016682468;0,000159889;0,71;0,67;;;;;
33574;643,42;lunes;-51,28;-50,57;0,276711889;-2,697105727;0,005134453;-0,011548015;-51,28;0,71;0,67;;0,69;;
33575;639,22;martes;-4,2;-55,48;0,402691927;-0,237938354;0,004188633;-0,00094582;-4,2;-51,28;0,71;0,67;-25,285;-16,63333333;
33576;635,7;miércoles;-3,52;-7,72;0,40451152;-0,202419369;0,003395945;-0,000792687;-3,52;-4,2;-51,28;0,71;-27,74;-18,25666667;-13,525
33577;631,51;jueves;-4,19;-7,71;0,402718686;-0,237416016;0,002452377;-0,000943568;-4,19;-3,52;-4,2;-51,28;-3,86;-19,66666667;-14,5725
33578;627,16;viernes;-4,35;-8,54;0,402290546;-0,245773425;0,001472777;-0,0009796;-4,35;-4,19;-3,52;-4,2;-3,855;-3,97;-15,7975
33581;638,06;lunes;10,9;6,55;0,443097589;0,550792048;0,003927406;0,002454629;10,9;-4,35;-4,19;-3,52;-4,27;-4,02;-4,065
33582;622,92;martes;-15,14;-4,24;0,373417891;-0,809376142;0,000517949;-0,003409457;-15,14;10,9;-4,35;-4,19;3,275;0,786666667;-0,29
33583;627,46;miércoles;4,54;-10,6;0,426079045;0,21858507;0,001540336;0,001022387;4,54;-15,14;10,9;-4,35;-2,12;-2,863333333;-3,195
33584;633,09;jueves;5,63;10,17;0,428995745;0,275519914;0,002808185;0,00126785;5,63;4,54;-15,14;10,9;-5,3;0,1;-1,0125
33585;632,35;viernes;-0,74;4,89;0,411950443;-0,057209401;0,002641541;-0,000166645;-0,74;5,63;4,54;-15,14;5,085;-1,656666667;1,4825
33588;630,91;lunes;-1,44;-2,18;0,410077333;-0,093773062;0,00231726;-0,000324281;-1,44;-0,74;5,63;4,54;2,445;3,143333333;-1,4275
33589;626,23;martes;-4,68;-6,12;0,401407508;-0,263010579;0,001263346;-0,001053914;-4,68;-1,44;-0,74;5,63;-1,09;1,15;1,9975
33590;626,52;miércoles;0,29;-4,39;0,414706591;-0,003408586;0,001328652;6,53066E-05;0,29;-4,68;-1,44;-0,74;-3,06;-2,286666667;-0,3075
33591;633,35;jueves;6,83;7,12;0,432206791;0,338200476;0,002866736;0,001538084;6,83;0,29;-4,68;-1,44;-2,195;-1,943333333;-1,6425
33592;621,71;viernes;-11,64;-4,81;0,382783442;-0,626557837;0,000245463;-0,002621273;-11,64;6,83;0,29;-4,68;3,56;0,813333333;0,25
33595;620,62;lunes;-1,09;-12,73;0,411013888;-0,075491232;0;-0,000245463;-1,09;-11,64;6,83;0,29;-2,405;-1,506666667;-2,3
33596;622,95;martes;2,33;1,24;0,420165369;0,103148369;0,000524705;0,000524705;2,33;-1,09;-11,64;6,83;-6,365;-1,966666667;-1,4025
33597;622,95;miércoles;0;2,33;0,413930588;-0,018556388;0,000524705;0;0;2,33;-1,09;-11,64;0,62;-3,466666667;-0,8925
33598;622,95;jueves;0;0;0,413930588;-0,018556388;0,000524705;0;0;0;2,33;-1,09;1,165;0,413333333;-2,6
33599;631,63;viernes;8,68;8,68;0,437157154;0,434833008;0,0024794;0,001954695;8,68;0;0;2,33;0;0,776666667;0,31
33602;632,37;lunes;0,74;9,42;0,415910733;0,020096625;0,002646045;0,000166645;0,74;8,68;0;0;4,34;2,893333333;2,7525
33603;632,37;martes;0;0,74;0,413930588;-0,018556388;0,002646045;0;0;0,74;8,68;0;4,71;3,14;2,355
33604;632,37;miércoles;0;0;0,413930588;-0,018556388;0,002646045;0;0;0;0,74;8,68;0,37;3,14;2,355
33605;638,61;jueves;6,24;6,24;0,430628027;0,307382533;0,004051263;0,001405219;6,24;0;0;0,74;0;0,246666667;2,355
33606;632,58;viernes;-6,03;0,21;0,397795082;-0,333526211;0,002693336;-0,001357928;-6,03;6,24;0;0;3,12;2,08;1,745
33609;638,07;lunes;5,49;-0,54;0,428621123;0,268207182;0,003929658;0,001236322;5,49;-6,03;6,24;0;0,105;0,07;0,0525
